[INFO] 2025-04-24T19:17:17.823Z START RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL652_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL652_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL652_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL652_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 199 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL652_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL652_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 371 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL652_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL652_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 471 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL721_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL721_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 415 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 407 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL746_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL746_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL746_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL746_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL746_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL746_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL746_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL746_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 407 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 407 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL830_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL830_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:17:17.824Z FILE_TRANSFER RequestId: uuid_10b024d5_0821_48d3_8494_ab97ba31c845	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL830_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL830_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
